accession,source_host,source_organism,isolate,isolation_source,geo_loc_name,collection_date,metadata_source,reported_host_override
UNG44314.1,Fusarium asiaticum,Fusarium asiaticum mitovirus 3,,FHB-infected wheat spikes,China: Yangtze Valley Plain,May-2016,NCBI GenBank source feature
XCX09761.1,Fusarium pseudograminearum,Fusarium pseudograminearum mitovirus 13,,,China,2019/2021,NCBI GenBank source feature
WLK77420.1,Suillus luteus,Suillus luteus mitovirus 3,SlMV3,,China,Mar-2021,NCBI GenBank source feature
BDF97663.1,Rhizopus microsporus,Rhizopus microsporus mitovirus 1,2020-AMS-01,host culture supernatant,Netherlands,2020,NCBI GenBank source feature
QKI79961.1,Erysiphe necator,Erysiphe necator associated mitovirus 13,PMS10_42,,Spain,2018,NCBI GenBank source feature
XSG20585.1,Gnomoniopsis sanguisorbae,Gnomoniopsis Sanguisorbae Mitovirus L,,Sanguisorba officinalis,China,2023,NCBI GenBank source feature
UTQ48829.1,Monilinia fructicola,Monilinia fructicola mitovirus 12,,,Italy,2021,NCBI GenBank source feature
QHD64821.1,Erysiphe necator,Erysiphe necator associated mitovirus 10,PMS-18_DN49546,,Italy,2018,NCBI GenBank source feature
XCX09745.1,Fusarium pseudograminearum,Fusarium pseudograminearum mitovirus 10,,,China,2019/2021,NCBI GenBank source feature
QHJ68502.1,Botrytis cinerea,Botrytis cinerea mitovirus 6,BCI1_DN10328,,Italy,2018,NCBI GenBank source feature
QIP68024.1,Bremia lactucae,Bremia lactucae associated mitovirus 1,DML-A_DN28798,,Italy,2018,NCBI GenBank source feature
XYL11408.1,Fusarium commune,Fusarium commune mononegavirus 1,JF46,diseased tobacco stems,China: Yongzhou,01-Jun-2023,NCBI GenBank source feature
YP_010802816.1,Erysiphe necator,Erysiphe necator associated negative-stranded RNA virus 23,PMS3_29,,Spain,2018,NCBI GenBank source feature
YP_010798440.1,Plasmopara viticola,Plasmopara viticola lesion associated mononegaambi virus 8,DMS1_DN25671,,Spain,2018,NCBI GenBank source feature
WPR17640.1,plant,Yellow silver pine associated mymonavirus 3,LEPINT,,New Zealand: Pukenui/Anchor Island,Feb-2021/Mar-2021,NCBI GenBank source feature,Yellow silver pine
YDH73243.1,Haemaphysalis longicornis,Mymonaviridae sp.,SD-T-7_75298,,China,2023,NCBI GenBank source feature
YP_010798443.1,Plasmopara viticola,Plasmopara viticola lesion associated mononega virus 2,DMG-A_DN34502,,Italy,2018,NCBI GenBank source feature
XCO56033.1,Fusarium culmorum,Fusarium mononegavirus 1,AU12,wheat head,Denmark: Aarhus University Flakkebjerg,2022,NCBI GenBank source feature
UNG44335.1,Fusarium asiaticum,Fusarium graminearum negative-stranded RNA virus 1,,FHB-infected wheat spikes,China: Yangtze Valley Plain,May-2016,NCBI GenBank source feature
YP_010800697.1,Cryphonectria parasitica,Cryphonectria parasitica sclerotimonavirus 1,,,Azerbaijan,Feb-2019,NCBI GenBank source feature
YP_009094317.1,Sclerotinia sclerotiorum,Sclerotinia sclerotiorum negative-stranded RNA virus 1,,,China,01-May-2010,NCBI GenBank source feature
WCA33786.1,Alternaria tenuissima,Alternaria tenuissima negative-stranded RNA virus 2,HB-15,,China,2017-07,NCBI GenBank source feature
UYZ32462.1,Alternaria dianthicola,Alternaria dianthicola negative-stranded RNA virus 1,,,China,,NCBI GenBank source feature
YP_010800326.1,Botrytis cinerea,Botrytis cinerea negative-stranded RNA virus 3,BCS11_19,,Spain,2018,NCBI GenBank source feature
YP_010805443.1,Fusarium asiaticum,Fusarium asiaticum negative-stranded RNA virus 1,,FHB-infected wheat spikes,China: Yangtze Valley Plain,May-2016,NCBI GenBank source feature
